LDCpointID,ProjectKey,PrimaryKey,DateVisited,Trt_Type_Major,Trt_Type_Sub,most_recent_comp,recent_trt_count
51,BLM_AIM,AZ_AZ-Tucson-Field-Office-2021_SP-372_V12021-09-01,2021-10-01,NA,NA,NA,NA
52,BLM_AIM,20163525201706B2,2016-04-27,NA,NA,NA,NA
53,BLM_AIM,NMP02000_Year1_ChiActive_0132019-09-01,2019-09-04,NA,NA,NA,NA
54,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_545_V12021-09-01,2021-07-21,NA,NA,NA,NA
55,BLM_AIM,NMP02000_2019_Reclaim_1052019-09-01,2019-10-29,NA,NA,NA,NA
56,BLM_AIM,20223525200111B1,2022-06-16,NA,NA,NA,NA
57,BLM_AIM,NM_LasCrucesDO_2019_LUP_MIMB-112_V12021-09-01,2021-10-12,NA,NA,NA,NA
58,BLM_AIM,20223525200111B2,2022-06-16,NA,NA,NA,NA
59,BLM_AIM,19081508461436202019-09-01,2019-08-14,NA,NA,NA,NA
60,BLM_AIM,20213525200101B1,2021-06-23,NA,NA,NA,NA
61,BLM_AIM,NML00000_2019_Sandy_5052019-09-01,2019-08-21,NA,NA,NA,NA
62,BLM_AIM,20213525200101B2,2021-06-23,NA,NA,NA,NA
63,BLM_AIM,NMP02000_Year1_HabActive_5052019-09-01,2019-10-03,NA,NA,NA,NA
64,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_525_V12020-09-01,2020-09-29,NA,NA,NA,NA
65,BLM_AIM,NM_LasCrucesDO_2016_LUP_Shallow-551_V22021-09-01,2021-08-24,NA,NA,NA,NA
66,BLM_AIM,16100415221576082016-09-01,2016-10-03,NA,NA,NA,NA
67,BLM_AIM,NML00000_2020_Sandy_5132019-09-01,2019-08-20,NA,NA,NA,NA
68,BLM_AIM,20091910110639882020-09-01,2020-09-18,NA,NA,NA,NA
69,BLM_AIM,NM_Carlsbad_LUP_2019_HabActive_537_V12020-09-01,2020-11-09,NA,NA,NA,NA
70,BLM_AIM,NMP02000_Year1_HabActive_5142019-09-01,2019-11-19,NA,NA,NA,NA
71,BLM_AIM,20193515200118B2,2019-06-19,Prescribed Burn,Prescribed Burn,2016-03-03,1
72,BLM_AIM,20193515200118B3,2019-06-19,NA,NA,NA,NA
73,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_040_V12020-09-01,2020-11-08,NA,NA,NA,NA
74,BLM_AIM,NM_CFO_LUP_2019_ChiActive-045_V12023-09-01,2023-10-11,NA,NA,NA,NA
75,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_029_V12020-09-01,2020-10-21,NA,NA,NA,NA
76,BLM_AIM,AZ_TFO_LUP_2020_SP-400_V12023-09-01,2023-09-11,NA,NA,NA,NA
77,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_104_V12020-09-01,2020-12-14,NA,NA,NA,NA
78,BLM_AIM,20113525010301O2,2011-08-09,NA,NA,NA,NA
