Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID
26035,73562,2003-05-14,2003-05-20,Prescribed Burn,Prescribed Burn,Prescribed Burn,30609
26036,73563,2004-09-01,2004-12-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30610
26037,73564,2004-11-01,2005-06-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30611
26038,73565,2004-08-08,2004-08-14,Prescribed Burn,Prescribed Burn,Prescribed Burn,30612
26039,73566,2004-02-24,2004-09-17,Prescribed Burn,Prescribed Burn,Prescribed Burn,30613
26040,73567,2004-05-01,2004-05-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30614
26041,73568,2004-04-29,2004-04-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30615
26042,73569,2005-09-24,2005-10-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30616
26043,73570,2005-06-20,2005-06-22,Prescribed Burn,Prescribed Burn,Prescribed Burn,30617
26044,73571,2005-05-29,2005-06-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30618
26045,73572,2005-04-07,2005-05-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30619
26046,73573,2005-05-09,2005-05-19,Prescribed Burn,Prescribed Burn,Prescribed Burn,30620
26047,73574,2005-10-02,2005-10-02,Prescribed Burn,Prescribed Burn,Prescribed Burn,30621
26049,73576,2005-09-20,2005-09-20,Prescribed Burn,Prescribed Burn,Prescribed Burn,30623
26050,73577,2005-10-19,2005-10-26,Prescribed Burn,Prescribed Burn,Prescribed Burn,30624
26051,73578,2006-05-09,2006-05-13,Prescribed Burn,Prescribed Burn,Prescribed Burn,30625
26052,73579,2006-09-01,2006-12-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30626
26053,73580,2006-10-01,2006-10-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30627
26054,73581,2006-04-14,2006-04-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30628
26055,73582,2006-11-08,2007-03-12,Prescribed Burn,Prescribed Burn,Prescribed Burn,30629
26056,73583,2006-09-28,2006-09-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30630
26057,73584,2007-09-15,2008-06-29,Prescribed Burn,Prescribed Burn,Prescribed Burn,30631
26058,73585,2007-04-02,2007-06-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30632
26059,73586,2007-04-20,2007-05-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30633
26060,73587,2007-10-15,2007-10-17,Prescribed Burn,Prescribed Burn,Prescribed Burn,30634
26061,73588,2007-09-01,2007-12-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30635
26062,73589,2007-09-27,2007-09-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30636
26063,73590,2007-09-01,2007-12-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30637
26064,73591,2007-09-01,2007-12-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30638
26065,73592,2007-11-05,2007-11-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30639
26066,73593,2007-11-01,2007-11-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30640
26067,73594,2007-10-09,2007-10-31,Prescribed Burn,Prescribed Burn,Prescribed Burn,30641
26068,73595,2007-03-16,2007-03-23,Prescribed Burn,Prescribed Burn,Prescribed Burn,30642
26069,73596,2008-09-08,2008-09-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30643
26070,73597,2008-10-03,2008-10-10,Prescribed Burn,Prescribed Burn,Prescribed Burn,30644
26071,73598,2008-10-17,2010-09-14,Prescribed Burn,Prescribed Burn,Prescribed Burn,30645
26073,73600,2009-10-01,2009-11-30,Prescribed Burn,Prescribed Burn,Prescribed Burn,30647
26074,73601,2009-11-05,2010-09-13,Prescribed Burn,Prescribed Burn,Prescribed Burn,30648
26075,73602,2009-04-22,2009-04-22,Prescribed Burn,Prescribed Burn,Prescribed Burn,30649
26076,73603,2009-10-29,2009-11-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30650
26077,73604,2009-10-07,2009-10-09,Prescribed Burn,Prescribed Burn,Prescribed Burn,30651
26078,73605,2009-11-08,2009-11-09,Prescribed Burn,Prescribed Burn,Prescribed Burn,30652
26079,73606,2010-06-22,2010-06-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30653
26080,73607,2010-06-27,2010-07-03,Prescribed Burn,Prescribed Burn,Prescribed Burn,30654
26081,73608,2010-10-01,2010-10-01,Prescribed Burn,Prescribed Burn,Prescribed Burn,30655
26082,73609,2010-07-14,2010-07-19,Prescribed Burn,Prescribed Burn,Prescribed Burn,30656
26083,73610,2010-08-25,2010-08-26,Prescribed Burn,Prescribed Burn,Prescribed Burn,30657
26084,73611,2010-09-14,2010-09-15,Prescribed Burn,Prescribed Burn,Prescribed Burn,30658
26085,73612,2010-01-21,2010-03-25,Prescribed Burn,Prescribed Burn,Prescribed Burn,30659
26087,73614,2010-09-07,2010-09-07,Prescribed Burn,Prescribed Burn,Prescribed Burn,30661
26088,73615,2010-07-14,2010-07-20,Prescribed Burn,Prescribed Burn,Prescribed Burn,30662
26089,73616,2010-06-05,2010-06-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30663
26090,73617,2010-04-19,2010-05-28,Prescribed Burn,Prescribed Burn,Prescribed Burn,30664
26091,73618,2010-11-04,2010-11-05,Prescribed Burn,Prescribed Burn,Prescribed Burn,30665
