NameCode,Scientific,CurrentPLANTSCode,GrowthHabit,GrowthHabitSub,Duration,Nonnative,Invasive,GrowthHabitSub2
GISA,Gilia salticola,GISA,NonWoody,Forb,Annual,NATIVE,,Forb
GISC,Gilia scopulorum,GISC,NonWoody,Forb,Annual,NATIVE,,Forb
GISI,Gilia sinuata,GISI,NonWoody,Forb,Annual,NATIVE,,Forb
GIST,Gilia stellata,GIST,NonWoody,Forb,Annual,NATIVE,,Forb
GITR,Gilia transmontana,GITR,NonWoody,Forb,Annual,NATIVE,,Forb
GITW,Gilia tweedyi,GITW,NonWoody,Forb,Annual,NATIVE,,Forb
GLBI2,Glandularia bipinnatifida,GLBI2,NonWoody,Forb,Perennial,NATIVE,,Forb
GLALAT,Glandularia latilobata,GLBIC,NonWoody,Forb,Perennial,NATIVE,,Forb
GLAPUB,Glandularia pubera,GLBIC,NonWoody,Forb,Perennial,NATIVE,,Forb
GLGO,Glandularia gooddingii,GLGO,NonWoody,Forb,Perennial,NATIVE,,Forb
GLGR,Glyceria grandis,GLGR,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
GLLE3,Glycyrrhiza lepidota,GLLE3,NonWoody,Forb,Perennial,NATIVE,,Forb
GLOSS,Glossopetalon,GLOSS,Woody,Shrub,Perennial,NATIVE,,Shrub
GLSP,Glossopetalon spinescens,GLSP,Woody,Shrub,Perennial,NATIVE,,Shrub
FOME,Forsellesia meionandra,GLSPM,Woody,Shrub,Perennial,NATIVE,,Shrub
GLYCY,Glycyrrhiza,GLYCY,NonWoody,Forb,Perennial,NATIVE,,Forb
GNAPH,Gnaphalium,GNAPH,NonWoody,Forb,Annual,NATIVE,,Forb
GNPA,Gnaphalium palustre,GNPA,NonWoody,Forb,Annual,NATIVE,,Forb
GRAR2,Grindelia arizonica,GRAR2,NonWoody,Forb,Perennial,NATIVE,,Forb
GRCL,Grusonia clavata,GRCL,Woody,Succulent,Perennial,NATIVE,,Shrub
GRFA,Grindelia fastigiata,GRFA,NonWoody,Forb,Perennial,NATIVE,,Forb
GRHI,Grindelia hirsutula,GRHI,NonWoody,Forb,Perennial,NATIVE,,Forb
GRIND,Grindelia,GRIND,NonWoody,Forb,Annual,NATIVE,,Forb
GRSP,Grayia spinosa,GRSP,Woody,Shrub,Perennial,NATIVE,,Shrub
GRSQ,Grindelia squarrosa,GRSQ,NonWoody,Forb,Perennial,NATIVE,,Forb
GRSQQ,Grindelia squarrosa var. quasiperennis,GRSQQ,NonWoody,Forb,Perennial,NATIVE,,Forb
GUARD,Guardiola,GUARD,,,,NATIVE,,
GUDE,Guilleminea densa,GUDE,NonWoody,Forb,Perennial,NATIVE,,Forb
GULA4,Guillenia lasiophylla,GULA4,NonWoody,Forb,Annual,NATIVE,,Forb
GUMI,Gutierrezia microcephala,GUMI,Woody,SubShrub,Perennial,NATIVE,,Shrub
GUSA,Guaiacum sanctum,GUSA,Woody,Tree,Perennial,NATIVE,,Shrub
GUDI3,Gutierrezia diversifolia,GUSA2,Woody,SubShrub,Perennial,NATIVE,,Shrub
GUSA2,Gutierrezia sarothrae,GUSA2,Woody,SubShrub,Perennial,NATIVE,,Shrub
GUSU2,Gutierrezia sarothrae,GUSA2,Woody,SubShrub,Perennial,NATIVE,,Shrub
GUSP,Gutierrezia sphaerocephala,GUSP,NonWoody,Forb,Annual,NATIVE,,Forb
GUTEG,Gutierrezia texana var. glutinosa,GUTEG,NonWoody,Forb,Annual,NATIVE,,Forb
GUTCFSAR,Gutierrezia cf. sarothrae,GUTIE,Woody,SubShrub,Perennial,NATIVE,,Shrub
GUTIE,Gutierrezia,GUTIE,Woody,SubShrub,Perennial,NATIVE,,Shrub
GYGL,Gymnosperma glutinosum,GYGL,Woody,Shrub,Perennial,NATIVE,,Shrub
GYNU,Gymnosteris nudicaulis,GYNU,NonWoody,Forb,Annual,NATIVE,,Forb
GYPA,Gypsophila paniculata,GYPA,NonWoody,Forb,Perennial,EXOTIC,INVASIVE,Forb
GYPA2,Gymnosteris parvula,GYPA2,NonWoody,Forb,Annual,NATIVE,,Forb
GYPSO,Gypsophila,GYPSO,NonWoody,Forb,Perennial,EXOTIC,,Forb
HACKE,Hackelia,HACKE,NonWoody,Forb,Perennial,NATIVE,,Forb
HACU,Hackelia cusickii,HACU,NonWoody,Forb,Perennial,NATIVE,,Forb
HADE,Hackelia deflexa,HADE,NonWoody,Forb,Annual,NATIVE,,Forb
HADEA,Hackelia deflexa var. americana,HADEA,NonWoody,Forb,Annual,NATIVE,,Forb
HADI2,Hackelia diffusa,HADI2,NonWoody,Forb,Perennial,NATIVE,,Forb
HAFL2,Hackelia floribunda,HAFL2,NonWoody,Forb,Perennial,NATIVE,,Forb
HAGL,Halogeton glomeratus,HAGL,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
HALOG,Halogeton,HALOG,NonWoody,Forb,Annual,EXOTIC,,Forb
HAMI,Hackelia micrantha,HAMI,NonWoody,Forb,Perennial,NATIVE,,Forb
HAOP2,Hackelia ophiobia,HAOP2,NonWoody,Forb,Perennial,NATIVE,,Forb
HAPA,Hackelia patens,HAPA,NonWoody,Forb,Perennial,NATIVE,,Forb
HAPLO,Haploësthes,HAPLO,NonWoody,Forb,Perennial,NATIVE,,Forb
HAPLO11,Haplopappus,HAPLO11,,,,NATIVE,,
HEAM11,Hedosyne ambrosiifolia,HEAM11,NonWoody,Forb,Annual,NATIVE,,Forb
HEAN3,Helianthus annuus,HEAN3,NonWoody,Forb,Annual,NATIVE,,Forb
HEBO,Hedysarum boreale,HEBO,NonWoody,Forb,Perennial,NATIVE,,Forb
HEBOB,Hedysarum boreale subsp. boreale,HEBOB,NonWoody,Forb,Perennial,NATIVE,,Forb
HECA,Helianthella californica,HECA,NonWoody,Forb,Perennial,NATIVE,,Forb
HECA7,Hesperochiron californicus,HECA7,NonWoody,Forb,Perennial,NATIVE,,Forb
HECO10,Heteropogon contortus,HECO10,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HECO26,Hesperostipa comata,HECO26,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
STCO4,Stipa comata,HECO26,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HECO5,Heliotropium convolvulaceum,HECO5,NonWoody,Forb,Annual,NATIVE,,Forb
HECOC8,Hesperostipa comata subsp. comata,HECOC8,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HECU2,Helianthus cusickii,HECU2,NonWoody,Forb,Perennial,NATIVE,,Forb
HECY2,Heuchera cylindrica,HECY2,NonWoody,Forb,Perennial,NATIVE,,Forb
HEDR,Hedeoma drummondii,HEDR,NonWoody,Forb,Perennial,NATIVE,,Forb
HEFU3,Heterotheca fulcrata,HEFU3,NonWoody,Forb,Perennial,NATIVE,,Forb
HEGR6,Heliotropium greggii,HEGR6,NonWoody,Forb,Perennial,NATIVE,,Forb
HEGR8,Heuchera grossulariifolia,HEGR8,NonWoody,Forb,Perennial,NATIVE,,Forb
HEHI,Hedeoma hispida,HEHI,NonWoody,Forb,Annual,NATIVE,,Forb
HELIA3,Helianthus,HELIA3,NonWoody,Forb,Annual,NATIVE,,Forb
HELIO2,Heliopsis,HELIO2,NonWoody,Forb,Perennial,NATIVE,,Forb
HELIO3,Heliotropium,HELIO3,NonWoody,Forb,Perennial,NATIVE,,Forb
HELO6,Heliomeris longifolia,HELO6,NonWoody,Forb,Annual,NATIVE,,Forb
HELOA2,Heliomeris longifolia var. annua,HELOA2,NonWoody,Forb,Annual,NATIVE,,Forb
HEMA2,Helianthus maximiliani,HEMA2,NonWoody,Forb,Perennial,NATIVE,,Forb
HEMA80,Heracleum maximum,HEMA80,NonWoody,Forb,Perennial,NATIVE,,Forb
HEMI2,Helianthella microcephala,HEMI2,NonWoody,Forb,Perennial,NATIVE,,Forb
HEMI9,Hesperolinon micranthum,HEMI9,NonWoody,Forb,Annual,NATIVE,,Forb
HEMU3,Heliomeris multiflora,HEMU3,NonWoody,Forb,Perennial,NATIVE,,Forb
HEMUM,Heliomeris multiflora var. multiflora,HEMUM,NonWoody,Forb,Perennial,NATIVE,,Forb
HEMUN,Heliomeris multiflora var. nevadensis,HEMUN,NonWoody,Forb,Perennial,NATIVE,,Forb
HENE5,Hesperostipa neomexicana,HENE5,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
STNE2,Stipa neomexicana,HENE5,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
HENU,Helianthus nuttallii,HENU,NonWoody,Forb,Perennial,NATIVE,,Forb
