NameCode,Scientific,CurrentPLANTSCode,GrowthHabit,GrowthHabitSub,Duration,Nonnative,Invasive,GrowthHabitSub2
ABAN,Abronia angustifolia,ABAN,NonWoody,Forb,Annual,NATIVE,,Forb
ABCO,Abies concolor,ABCO,Woody,Tree,Perennial,NATIVE,,Shrub
ABFR2,Abronia fragrans,ABFR2,NonWoody,Forb,Perennial,NATIVE,,Forb
ABGR,Abies grandis,ABGR,Woody,Tree,Perennial,NATIVE,,Shrub
ABLA,Abies lasiocarpa,ABLA,Woody,Tree,Perennial,NATIVE,,Shrub
ABBI3,Abies bifolia,ABLAL,Woody,Tree,Perennial,NATIVE,,Shrub
ABLAL,Abies lasiocarpa var. lasiocarpa,ABLAL,Woody,Tree,Perennial,NATIVE,,Shrub
ABNA,Abronia nana,ABNA,NonWoody,Forb,Perennial,NATIVE,,Forb
ACACI,Acacia,ACACI,Woody,Shrub,Perennial,EXOTIC,,Shrub
ACAR14,Achnatherum aridum,ACAR14,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACBL,Achnatherum bloomeri,ACBL,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACCO3,Achyronychia cooperi,ACCO3,NonWoody,Forb,Annual,NATIVE,,Forb
ACEM4,Achnatherum eminens,ACEM4,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACGL,Acer glabrum,ACGL,Woody,Tree,Perennial,NATIVE,,Shrub
ACGLG2,Acer glabrum var. glabrum,ACGLG2,Woody,Tree,Perennial,NATIVE,,Shrub
ACGR3,Acer grandidentatum,ACGR3,Woody,Tree,Perennial,NATIVE,,Shrub
ACHE10,Achnatherum hendersonii,ACHE10,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACHIL,Achillea,ACHIL,NonWoody,Forb,Perennial,NATIVE,,Forb
ACHNA,Achnatherum,ACHNA,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACHY,Achnatherum hymenoides,ACHY,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACLE8,Achnatherum lemmonii,ACLE8,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACLE9,Achnatherum lettermanii,ACLE9,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACLEL,Achnatherum lemmonii var. lemmonii,ACLEL,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACMI2,Achillea millefolium,ACMI2,NonWoody,Forb,Perennial,NATIVE,,Forb
ACLAA2,Achillea lanulosa var. alpicola,ACMIA,NonWoody,Forb,Perennial,NATIVE,,Forb
ACMIA,Achillea millefolium var. alpicola,ACMIA,NonWoody,Forb,Perennial,NATIVE,,Forb
ACMIO,Achillea millefolium var. occidentalis,ACMIO,NonWoody,Forb,Perennial,NATIVE,,Forb
ACNA2,Acourtia nana,ACNA2,NonWoody,Forb,Perennial,NATIVE,,Forb
ACNE,Acalypha neomexicana,ACNE,NonWoody,Forb,Annual,NATIVE,,Forb
ACNE10,Achnatherum nevadense,ACNE10,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACNE2,Acer negundo,ACNE2,Woody,Tree,Perennial,NATIVE,,Shrub
ACNE9,Achnatherum nelsonii,ACNE9,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACNED,Achnatherum nelsonii subsp. dorei,ACNED,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
STCO3,Stipa columbiana,ACNED,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACNEN2,Achnatherum nelsonii subsp. nelsonii,ACNEN2,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACOC3,Achnatherum occidentale,ACOC3,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACOCC,Achnatherum occidentale subsp. californicum,ACOCC,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACOCP,Achnatherum occidentale subsp. pubescens,ACOCP,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACPE13,Achnatherum perplexum,ACPE13,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACPI2,Achnatherum pinetorum,ACPI2,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACRE3,Acroptilon repens,ACRE3,NonWoody,Forb,Perennial,EXOTIC,INVASIVE,Forb
ACRO7,Achnatherum robustum,ACRO7,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACRU2,Actaea rubra,ACRU2,NonWoody,Forb,Perennial,NATIVE,,Forb
ACSC11,Achnatherum scribneri,ACSC11,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACSH,Acamptopappus shockleyi,ACSH,Woody,Shrub,Perennial,NATIVE,,Shrub
ACSP,Acamptopappus sphaerocephalus,ACSP,Woody,Shrub,Perennial,NATIVE,,Shrub
ACSP12,Achnatherum speciosum,ACSP12,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACTH7,Achnatherum thurberianum,ACTH7,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ACWE3,Achnatherum webberi,ACWE3,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ADPO,Adenophyllum porophylloides,ADPO,NonWoody,Forb,Perennial,NATIVE,,Forb
ADWR,Adenophyllum wrightii,ADWR,NonWoody,Forb,Annual,NATIVE,,Forb
AFAF,Afzelia africana,AFAF,NonWoody,Forb,Annual,NATIVE,,Forb
AGAST,Agastache,AGAST,NonWoody,Forb,Perennial,NATIVE,,Forb
AGAU2,Agoseris aurantiaca,AGAU2,NonWoody,Forb,Perennial,NATIVE,,Forb
AGAVE,Agave,AGAVE,Woody,Succulent,Perennial,NATIVE,,Shrub
AGCR,Agropyron cristatum,AGCR,NonWoody,Graminoid,Perennial,EXOTIC,,Graminoid
AGCRC,Agropyron cristatum subsp. cristatum,AGCRC,NonWoody,Graminoid,Perennial,EXOTIC,,Graminoid
AGDE2,Agropyron desertorum,AGDE2,NonWoody,Graminoid,Perennial,EXOTIC,,Graminoid
AGEX,Agrostis exarata,AGEX,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
AGFR,Agropyron fragile,AGFR,NonWoody,Graminoid,Perennial,EXOTIC,,Graminoid
AGSI,Agropyron sibiricum,AGFR,NonWoody,Graminoid,Perennial,EXOTIC,,Graminoid
AGGI2,Agrostis gigantea,AGGI2,NonWoody,Graminoid,Perennial,EXOTIC,INVASIVE,Graminoid
AGGL,Agoseris glauca,AGGL,NonWoody,Forb,Perennial,NATIVE,,Forb
AGGL2,Agave glomeruliflora,AGGL2,Woody,Succulent,Perennial,NATIVE,,Shrub
AGAGA,Agoseris glauca var. agrestis,AGGLA,NonWoody,Forb,Perennial,NATIVE,,Forb
AGAGAG,Agoseris glauca var. agrestis,AGGLA,NonWoody,Forb,Perennial,NATIVE,,Forb
AGGLA,Agoseris glauca var. agrestis,AGGLA,NonWoody,Forb,Perennial,NATIVE,,Forb
AGGLG,Agoseris glauca var. glauca,AGGLG,NonWoody,Forb,Perennial,NATIVE,,Forb
AGGLL,Agoseris glauca var. laciniata,AGGLL,NonWoody,Forb,Perennial,NATIVE,,Forb
AGPA14,Agoseris parviflora,AGGLL,NonWoody,Forb,Perennial,NATIVE,,Forb
AGGLM,Agoseris glauca var. monticola,AGGLM,NonWoody,Forb,Perennial,NATIVE,,Forb
AGGR,Agoseris grandiflora,AGGR,NonWoody,Forb,Perennial,NATIVE,,Forb
AGHE2,Agoseris heterophylla,AGHE2,NonWoody,Forb,Annual,NATIVE,,Forb
AGHE3,Agrostis hendersonii,AGHE3,NonWoody,Graminoid,Annual,NATIVE,,Graminoid
AGHU,Agrostis humilis,AGHU,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
AGID,Agrostis idahoensis,AGID,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
AGLE,Agave lechuguilla,AGLE,Woody,Succulent,Perennial,NATIVE,,Shrub
AGME3,Agrostis mertensii,AGME3,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
AGOC2,Ageratina occidentalis,AGOC2,NonWoody,Forb,Perennial,NATIVE,,Forb
AGOSE,Agoseris,AGOSE,NonWoody,Forb,Perennial,NATIVE,,Forb
AGPA2,Agastache parvifolia,AGPA2,NonWoody,Forb,Perennial,NATIVE,,Forb
AGPA4,Agave parryi,AGPA4,Woody,Succulent,Perennial,NATIVE,,Shrub
AGPA8,Agrostis pallens,AGPA8,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
AGPAP5,Agave parryi subsp. parryi,AGPAP5,Woody,Succulent,Perennial,NATIVE,,Shrub
AGRE,Agoseris retrorsa,AGRE,NonWoody,Forb,Perennial,NATIVE,,Forb
AGROP2,Agropyron,AGROP2,NonWoody,Graminoid,Perennial,EXOTIC,INVASIVE,Graminoid
AGROS2,Agrostis,AGROS2,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
AGSC5,Agrostis scabra,AGSC5,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
AGST2,Agrostis stolonifera,AGST2,NonWoody,Graminoid,Perennial,EXOTIC,INVASIVE,Graminoid
AGTO,Agave toumeyana,AGTO,Woody,Succulent,Perennial,NATIVE,,Shrub
AGUR,Agastache urticifolia,AGUR,NonWoody,Forb,Perennial,NATIVE,,Forb
ALAC,Albizia acle,ALAC,Woody,Tree,Perennial,ABSENT,,Shrub
ALAC4,Allium acuminatum,ALAC4,NonWoody,Forb,Perennial,NATIVE,,Forb
ALAE,Alopecurus aequalis,ALAE,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ALAL3,Alyssum alyssoides,ALAL3,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
ALAN,Allium anceps,ALAN,NonWoody,Forb,Perennial,NATIVE,,Forb
ALAT,Allium atrorubens,ALAT,NonWoody,Forb,Perennial,NATIVE,,Forb
ALBI2,Allium bisceptrum,ALBI2,NonWoody,Forb,Perennial,NATIVE,,Forb
ALBR,Allium brandegeei,ALBR,NonWoody,Forb,Perennial,NATIVE,,Forb
ALCA2,Allium campanulatum,ALCA2,NonWoody,Forb,Perennial,NATIVE,,Forb
ALCE2,Allium cernuum,ALCE2,NonWoody,Forb,Perennial,NATIVE,,Forb
ALCH,Allionia choisyi,ALCH,NonWoody,Forb,Annual,NATIVE,,Forb
ALDE,Alyssum desertorum,ALDE,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
ALDED,Alyssum desertorum var. desertorum,ALDED,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
ALDO,Allium douglasii,ALDO,NonWoody,Forb,Perennial,NATIVE,,Forb
ALFI,Allium fibrillum,ALFI,NonWoody,Forb,Perennial,NATIVE,,Forb
ALGE,Allium geyeri,ALGE,NonWoody,Forb,Perennial,NATIVE,,Forb
ALGI,Allophyllum gilioides,ALGI,NonWoody,Forb,Annual,NATIVE,,Forb
ALHA6,Aliciella haydenii,ALHA6,NonWoody,Forb,Annual,NATIVE,,Forb
ALHU6,Aliciella hutchinsifolia,ALHU6,NonWoody,Forb,Annual,NATIVE,,Forb
ALIN,Allionia incarnata,ALIN,NonWoody,Forb,Perennial,NATIVE,,Forb
ALIN2,Alnus incana,ALIN2,Woody,Tree,Perennial,NATIVE,,Shrub
ALKU,Allium kunthii,ALKU,NonWoody,Forb,Perennial,NATIVE,,Forb
ALLE3,Allium lemmonii,ALLE3,NonWoody,Forb,Perennial,NATIVE,,Forb
ALLE7,Aliciella leptomeria,ALLE7,NonWoody,Forb,Annual,NATIVE,,Forb
ALLIU,Allium,ALLIU,NonWoody,Forb,Perennial,NATIVE,,Forb
ALMA4,Allium macropetalum,ALMA4,NonWoody,Forb,Perennial,NATIVE,,Forb
ALNE,Allium nevadense,ALNE,NonWoody,Forb,Perennial,NATIVE,,Forb
ALNUS,Alnus,ALNUS,Woody,Shrub,Perennial,NATIVE,,Shrub
ALOC2,Allenrolfea occidentalis,ALOC2,Woody,Shrub,Perennial,NATIVE,,Shrub
ALPA3,Allium parvum,ALPA3,NonWoody,Forb,Perennial,NATIVE,,Forb
ALPE11,Aliciella penstemonoides,ALPE11,NonWoody,Forb,Perennial,NATIVE,,Forb
SIAL11,Sisymbrium alliaria,ALPE4,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
ALPI2,Aliciella pinnatifida,ALPI2,NonWoody,Forb,Annual,NATIVE,,Forb
ALPL2,Allium platycaule,ALPL2,NonWoody,Forb,Perennial,NATIVE,,Forb
ALPR3,Alopecurus pratensis,ALPR3,NonWoody,Graminoid,Perennial,EXOTIC,INVASIVE,Graminoid
ALSI8,Alyssum simplex,ALSI8,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
ALSU10,Aliciella subacaulis,ALSU10,NonWoody,Forb,Annual,NATIVE,,Forb
ALTE,Allium textile,ALTE,NonWoody,Forb,Perennial,NATIVE,,Forb
ALTO,Allium tolmiei,ALTO,NonWoody,Forb,Perennial,NATIVE,,Forb
ALTOT,Allium tolmiei var. tolmiei,ALTOT,NonWoody,Forb,Perennial,NATIVE,,Forb
ALTR14,Aliciella triodon,ALTR14,NonWoody,Forb,Annual,NATIVE,,Forb
ALWR,Aloysia wrightii,ALWR,Woody,Shrub,Perennial,NATIVE,,Shrub
ALYSS,Alyssum,ALYSS,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
AMAC,Amaranthus acanthochiton,AMAC,NonWoody,Forb,Annual,NATIVE,,Forb
AMAC2,Ambrosia acanthicarpa,AMAC2,NonWoody,Forb,Annual,NATIVE,,Forb
AMAL,Amaranthus albus,AMAL,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
AMAL2,Amelanchier alnifolia,AMAL2,Woody,Shrub,Perennial,NATIVE,,Shrub
AMALA,Amelanchier alnifolia var. alnifolia,AMALA,Woody,Shrub,Perennial,NATIVE,,Shrub
AMAR2,Ambrosia artemisiifolia,AMAR2,NonWoody,Forb,Annual,NATIVE,,Forb
AMARA,Amaranthus,AMARA,NonWoody,Forb,Annual,NATIVE,,Forb
AMBL,Amaranthus blitoides,AMBL,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
AMBRO,Ambrosia,AMBRO,Woody,Shrub,Perennial,NATIVE,,Shrub
ACLCHE,Acleisanthes chenopodioides,AMCH3,NonWoody,Forb,Perennial,NATIVE,,Forb
AMCO3,Ambrosia confertiflora,AMCO3,NonWoody,Forb,Perennial,NATIVE,,Forb
AMDU2,Ambrosia dumosa,AMDU2,Woody,Shrub,Perennial,NATIVE,,Shrub
AMELA,Amelanchier,AMELA,Woody,Shrub,Perennial,NATIVE,,Shrub
AMER,Ambrosia eriocentra,AMER,Woody,Shrub,Perennial,NATIVE,,Shrub
AMFI,Amaranthus fimbriatus,AMFI,NonWoody,Forb,Annual,NATIVE,,Forb
AMHY,Amaranthus hybridus,AMHY,NonWoody,Forb,Annual,NATIVE,,Forb
AMLY,Amsinckia lycopsoides,AMLY,NonWoody,Forb,Annual,NATIVE,,Forb
AMME,Amsinckia menziesii,AMME,NonWoody,Forb,Annual,NATIVE,,Forb
AMMEI2,Amsinckia menziesii var. intermedia,AMMEI2,NonWoody,Forb,Annual,NATIVE,,Forb
AMPA,Amaranthus palmeri,AMPA,NonWoody,Forb,Annual,NATIVE,,Forb
AMPO2,Amaranthus powellii,AMPO2,NonWoody,Forb,Annual,NATIVE,,Forb
AMPS,Ambrosia psilostachya,AMPS,NonWoody,Forb,Perennial,NATIVE,,Forb
AMRE,Amaranthus retroflexus,AMRE,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
AMSIN,Amsinckia,AMSIN,NonWoody,Forb,Annual,NATIVE,,Forb
AMTE3,Amsinckia tessellata,AMTE3,NonWoody,Forb,Annual,NATIVE,,Forb
AMTO2,Amsonia tomentosa,AMTO2,NonWoody,Forb,Perennial,NATIVE,,Forb
AMTO6,Amaranthus torreyi,AMTO6,NonWoody,Forb,Annual,NATIVE,,Forb
AMALU,Amelanchier alnifolia var. utahensis,AMUT,Woody,Shrub,Perennial,NATIVE,,Shrub
AMUT,Amelanchier utahensis,AMUT,Woody,Shrub,Perennial,NATIVE,,Shrub
AMUTU,Amelanchier utahensis var. utahensis,AMUTU,Woody,Shrub,Perennial,NATIVE,,Shrub
ANAC,Anisocoma acaulis,ANAC,NonWoody,Forb,Annual,NATIVE,,Forb
ANAN2,Antennaria anaphaloides,ANAN2,NonWoody,Forb,Perennial,NATIVE,,Forb
ANAR10,Antennaria aromatica,ANAR10,NonWoody,Forb,Perennial,NATIVE,,Forb
ANAR5,Antennaria argentea,ANAR5,NonWoody,Forb,Perennial,NATIVE,,Forb
ANBR4,Androstephium breviflorum,ANBR4,NonWoody,Forb,Perennial,NATIVE,,Forb
ANCO,Antennaria corymbosa,ANCO,NonWoody,Forb,Perennial,NATIVE,,Forb
ANCY,Anemone cylindrica,ANCY,NonWoody,Forb,Perennial,NATIVE,,Forb
ANDI2,Antennaria dimorpha,ANDI2,NonWoody,Forb,Perennial,NATIVE,,Forb
ANEU,Anelsonia eurycarpa,ANEU,NonWoody,Forb,Perennial,NATIVE,,Forb
ANFI3,Ancistrocarphus filagineus,ANFI3,NonWoody,Forb,Annual,NATIVE,,Forb
ANFL2,Antennaria flagellaris,ANFL2,NonWoody,Forb,Perennial,NATIVE,,Forb
ANGE,Andropogon gerardii,ANGE,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ANGE3,Antennaria geyeri,ANGE3,NonWoody,Forb,Perennial,NATIVE,,Forb
ANGR3,Angelica grayi,ANGR3,NonWoody,Forb,Perennial,NATIVE,,Forb
ANDGERH,Andropogon gerardi subsp. hallii,ANHA,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ANHA,Andropogon hallii,ANHA,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ANLA3,Antennaria lanata,ANLA3,NonWoody,Forb,Perennial,NATIVE,,Forb
ANLU2,Antennaria luzuloides,ANLU2,NonWoody,Forb,Perennial,NATIVE,,Forb
ANLUL,Antennaria luzuloides subsp. luzuloides,ANLUL,NonWoody,Forb,Perennial,NATIVE,,Forb
ANMA,Anaphalis margaritacea,ANMA,NonWoody,Forb,Perennial,NATIVE,,Forb
ANMA5,Antennaria marginata,ANMA5,NonWoody,Forb,Perennial,NATIVE,,Forb
ANME2,Antennaria media,ANME2,NonWoody,Forb,Perennial,NATIVE,,Forb
ANMI3,Antennaria microphylla,ANMI3,NonWoody,Forb,Perennial,NATIVE,,Forb
ANPA4,Antennaria parvifolia,ANMI3,NonWoody,Forb,Perennial,NATIVE,,Forb
ANMI4,Anagallis minima,ANMI4,NonWoody,Forb,Annual,NATIVE,,Forb
ANNE,Antennaria neglecta,ANNE,NonWoody,Forb,Perennial,NATIVE,,Forb
ANOC2,Androsace occidentalis,ANOC2,NonWoody,Forb,Annual,NATIVE,,Forb
ANPA,Anemone parviflora,ANPA,NonWoody,Forb,Perennial,NATIVE,,Forb
ANPE4,Anoda pentaschista,ANPE4,NonWoody,Forb,Annual,NATIVE,,Forb
ANRA,Antennaria racemosa,ANRA,NonWoody,Forb,Perennial,NATIVE,,Forb
ANRO,Angelica roseana,ANRO,NonWoody,Forb,Perennial,NATIVE,,Forb
ANRO2,Antennaria rosea,ANRO2,NonWoody,Forb,Perennial,NATIVE,,Forb
ANRO3,Antennaria rosulata,ANRO3,NonWoody,Forb,Perennial,NATIVE,,Forb
ANSE4,Androsace septentrionalis,ANSE4,NonWoody,Forb,Annual,NATIVE,,Forb
ANST2,Antennaria stenophylla,ANST2,NonWoody,Forb,Perennial,NATIVE,,Forb
ANTEN,Antennaria,ANTEN,NonWoody,Forb,Perennial,NATIVE,,Forb
ANUM,Antennaria umbrinella,ANUM,NonWoody,Forb,Perennial,NATIVE,,Forb
ANWA,Antheropeas wallacei,ANWA,NonWoody,Forb,Annual,NATIVE,,Forb
APAM2,Apocynum ambigens,APAN2,NonWoody,Forb,Perennial,NATIVE,,Forb
APAN2,Apocynum androsaemifolium,APAN2,NonWoody,Forb,Perennial,NATIVE,,Forb
APCA,Apocynum cannabinum,APCA,NonWoody,Forb,Perennial,NATIVE,,Forb
APFL,Apocynum floribundum,APFL,NonWoody,Forb,Perennial,NATIVE,,Forb
APIN,Apera interrupta,APIN,NonWoody,Graminoid,Annual,EXOTIC,,Graminoid
APOCY,Apocynum,APOCY,NonWoody,Forb,Perennial,NATIVE,,Forb
APRA,Aphanostephus ramosissimus,APRA,NonWoody,Forb,Annual,NATIVE,,Forb
AQCO,Aquilegia coerulea,AQCO,NonWoody,Forb,Perennial,NATIVE,,Forb
AQEL,Aquilegia elegantula,AQEL,NonWoody,Forb,Perennial,NATIVE,,Forb
AQFO,Aquilegia formosa,AQFO,NonWoody,Forb,Perennial,NATIVE,,Forb
ARABI,Arabidopsis,ARABI,NonWoody,Forb,Annual,NATIVE,,Forb
ARABI2,Arabis,ARABI2,NonWoody,Forb,Annual,NATIVE,,Forb
ARAC2,Arenaria aculeata,ARAC2,NonWoody,Forb,Perennial,NATIVE,,Forb
ARAD,Aristida adscensionis,ARAD,NonWoody,Graminoid,Annual,NATIVE,,Graminoid
ARAN5,Arnica angustifolia,ARAN5,NonWoody,Forb,Perennial,NATIVE,,Forb
POAN5,Potentilla anserina,ARAN7,NonWoody,Forb,Perennial,NATIVE,,Forb
ARANT,Arnica angustifolia subsp. tomentosa,ARANT,NonWoody,Forb,Perennial,NATIVE,,Forb
ARAR6,Aristida arizonica,ARAR6,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ARAR8,Artemisia arbuscula,ARAR8,Woody,Shrub,Perennial,NATIVE,,Shrub
ARARA,Artemisia arbuscula subsp. arbuscula,ARARA,Woody,Shrub,Perennial,NATIVE,,Shrub
ARARL,Artemisia arbuscula subsp. longiloba,ARARL,Woody,Shrub,Perennial,NATIVE,,Shrub
ARARL3,Artemisia arbuscula subsp. longicaulis,ARARL3,Woody,Shrub,Perennial,NATIVE,,Shrub
ARART,Artemisia arbuscula subsp. thermopola,ARART,Woody,Shrub,Perennial,NATIVE,,Shrub
ARBI2,Artemisia biennis,ARBI2,NonWoody,Forb,Annual,EXOTIC,INVASIVE,Forb
ARBI3,Artemisia bigelovii,ARBI3,Woody,Shrub,Perennial,NATIVE,,Shrub
ARBR,Arabis breweri,ARBR,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCA,Arabis canadensis,ARCA,NonWoody,Forb,Annual,NATIVE,,Forb
ARCA12,Artemisia campestris,ARCA12,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCA13,Artemisia cana,ARCA13,Woody,Shrub,Perennial,NATIVE,,Shrub
ARCA14,Artemisia carruthii,ARCA14,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCA2,Aralia californica,ARCA2,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCA7,Arenaria capillaris,ARCA7,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCAB3,Artemisia cana subsp. bolanderi,ARCAB3,Woody,Shrub,Perennial,NATIVE,,Shrub
ARCAC5,Artemisia cana subsp. cana,ARCAC5,Woody,Shrub,Perennial,NATIVE,,Shrub
ARAR10,Artemisia argilosa,ARCAV2,Woody,Shrub,Perennial,NATIVE,,Shrub
ARCAV2,Artemisia cana subsp. viscidula,ARCAV2,Woody,Shrub,Perennial,NATIVE,,Shrub
ARCH3,Arnica chamissonis,ARCH3,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCO,Arabis cobrensis,ARCO,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCO23,Arctostaphylos coloradensis,ARCO23,Woody,Shrub,Perennial,NATIVE,,Shrub
ARCO5,Arenaria congesta,ARCO5,NonWoody,Forb,Perennial,NATIVE,,Forb
ERCO24,Eremogone congesta,ARCO5,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCO9,Arnica cordifolia,ARCO9,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCOC,Arenaria congesta var. cephaloidea,ARCOC,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCOC4,Arenaria congesta var. congesta,ARCOC4,NonWoody,Forb,Perennial,NATIVE,,Forb
ERCOC13,Eremogone congesta var. congesta,ARCOC4,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCOS,Arenaria congesta var. simulans,ARCOS,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCR5,Arabis crandallii,ARCR5,NonWoody,Forb,Perennial,NATIVE,,Forb
BOCR3,Boechera crandallii,ARCR5,NonWoody,Forb,Perennial,NATIVE,,Forb
ARCU,Arabis cusickii,ARCU,NonWoody,Forb,Perennial,NATIVE,,Forb
ARDE,Arabis demissa,ARDE,NonWoody,Forb,Perennial,NATIVE,,Forb
ARDI2,Arabis divaricarpa,ARDI2,NonWoody,Forb,Perennial,NATIVE,,Forb
BOGR6,Boechera grahamii,ARDI2,NonWoody,Forb,Perennial,NATIVE,,Forb
ARDI3,Arceuthobium divaricatum,ARDI3,NonWoody,Forb,Perennial,NATIVE,,Forb
ARDI5,Aristida divaricata,ARDI5,NonWoody,Graminoid,Perennial,NATIVE,,Graminoid
ARDO3,Artemisia douglasiana,ARDO3,NonWoody,Forb,Perennial,NATIVE,,Forb
ARDR,Arabis drummondii,ARDR,NonWoody,Forb,Perennial,NATIVE,,Forb
BOST4,Boechera stricta,ARDR,NonWoody,Forb,Perennial,NATIVE,,Forb
ARDR4,Artemisia dracunculus,ARDR4,NonWoody,Forb,Perennial,NATIVE,,Forb
AREA,Arenaria eastwoodiae,AREA,NonWoody,Forb,Perennial,NATIVE,,Forb
EREA3,Eremogone eastwoodiae,AREA,NonWoody,Forb,Perennial,NATIVE,,Forb
AREAE,Arenaria eastwoodiae var. eastwoodiae,AREAE,NonWoody,Forb,Perennial,NATIVE,,Forb
AREL3,Arrhenatherum elatius,AREL3,NonWoody,Graminoid,Perennial,EXOTIC,INVASIVE,Graminoid
ARENA,Arenaria,ARENA,NonWoody,Forb,Perennial,NATIVE,,Forb
ARES5,Arabis eschscholtziana,ARES5,NonWoody,Forb,Annual,NATIVE,,Forb
ARFE,Arabis fendleri,ARFE,NonWoody,Forb,Perennial,NATIVE,,Forb
BOFE,Boechera fendleri,ARFE,NonWoody,Forb,Perennial,NATIVE,,Forb
ARFE3,Arenaria fendleri,ARFE3,NonWoody,Forb,Perennial,NATIVE,,Forb
ERFE3,Eremogone fendleri,ARFE3,NonWoody,Forb,Perennial,NATIVE,,Forb
ARFEF3,Arenaria fendleri var. fendleri,ARFEF3,NonWoody,Forb,Perennial,NATIVE,,Forb
ARFES,Arabis fendleri var. spatifolia,ARFES,NonWoody,Forb,Perennial,NATIVE,,Forb
ARFI2,Artemisia filifolia,ARFI2,Woody,Shrub,Perennial,NATIVE,,Shrub
ARFR,Arenaria franklinii,ARFR,NonWoody,Forb,Perennial,NATIVE,,Forb
ARFR3,Artemisia franserioides,ARFR3,NonWoody,Forb,Perennial,NATIVE,,Forb
ARFR4,Artemisia frigida,ARFR4,Woody,SubShrub,Perennial,NATIVE,,Shrub
ARFR5,Arabis fructicosa,ARFR5,NonWoody,Forb,Perennial,NATIVE,,Forb
ARFU3,Arnica fulgens,ARFU3,NonWoody,Forb,Perennial,NATIVE,,Forb
ARGL,Arabis glabra,ARGL,NonWoody,Forb,Annual,NATIVE,,Forb
ARGU,Arabis gunnisoniana,ARGU,NonWoody,Forb,Perennial,NATIVE,,Forb
ARHI,Arabis hirsuta,ARHI,NonWoody,Forb,Annual,NATIVE,,Forb
ARHO2,Arabis holboellii,ARHO2,NonWoody,Forb,Perennial,NATIVE,,Forb
ARHO4,Arenaria hookeri,ARHO4,NonWoody,Forb,Perennial,NATIVE,,Forb
ARHOC,Arabis holboellii var. collinsii,ARHOC,NonWoody,Forb,Perennial,NATIVE,,Forb
