ORIG_OID,OVERLAP_OID,ProjectKey,PrimaryKey,DateVisited
114,1572,MURV,07030910514155672006-04-20,2006-04-20
115,1579,MURV,07030911314372412006-04-20,2006-04-20
116,1639,MURV,07030911462583082006-04-24,2006-04-24
117,1637,MURV,07030911555248942006-04-24,2006-04-24
118,1600,MURV,07030912070235642006-04-25,2006-04-25
119,1590,MURV,0703091308068842006-04-25,2006-04-25
120,1592,MURV,0703091321188632006-05-08,2006-05-08
121,458,MURV,07040515471583972007-03-13,2007-03-13
122,8389,BLM_AIM,09010103235631742013-09-01,2013-04-06
123,32107,BLM_AIM,0901011610171312017-09-01,2017-09-12
124,32128,BLM_AIM,09010117174769542017-09-01,2017-09-13
125,32125,BLM_AIM,09010120473596262017-09-01,2017-09-12
126,35483,BLM_AIM,09010501560188412016-09-01,2016-08-14
127,213,BLM_AIM,1000000032018-09-01,2018-08-16
128,903,BLM_AIM,1000000302018-09-01,2018-08-05
129,149,BLM_AIM,1000000692018-09-01,2018-09-03
130,499,BLM_AIM,1000000772018-09-01,2018-08-22
131,775,BLM_AIM,1000000962018-09-01,2018-08-15
132,1000,BLM_AIM,1000001012018-09-01,2018-08-21
135,39748,BLM_AIM,10080311024652362015-09-01,2015-06-16
140,39712,BLM_AIM,10092315213026782021-09-01,2017-08-29
142,46846,UI_RRCR_Indaziflam,101C2022-06-02,2022-06-02
144,46837,UI_RRCR_Indaziflam,101T2022-06-02,2022-06-02
145,47215,UI_RRCR_Indaziflam,102C2022-06-10,2022-06-10
147,47209,UI_RRCR_Indaziflam,102T2022-05-27,2022-05-27
149,47200,UI_RRCR_Indaziflam,103C2022-05-22,2022-05-22
151,47208,UI_RRCR_Indaziflam,103T2022-06-06,2022-06-06
153,47199,UI_RRCR_Indaziflam,104C2022-05-22,2022-05-22
155,47205,UI_RRCR_Indaziflam,104T2022-06-10,2022-06-10
156,47178,UI_RRCR_Indaziflam,105C2022-06-09,2022-06-09
158,47180,UI_RRCR_Indaziflam,105T2022-06-08,2022-06-08
159,40242,BLM_AIM,1104200745377252011-09-01,2011-07-20
163,39254,BLM_AIM,11042009075061312011-09-01,2011-08-03
164,39060,BLM_AIM,11042009090399292011-09-01,2011-08-02
