LDCpointID,ProjectKey,PrimaryKey,DateVisited,TrtPolyID,Trt_Type_Major,Trt_Type_Sub,comp_date_est
77,BLM_AIM,NM_LasCrucesMimbres2019_MIMB_104_V12020-09-01,2020-12-14,,,,
78,BLM_AIM,20113525010301O2,2011-08-09,,,,
79,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_030_V12020-09-01,2020-10-20,,,,
80,BLM_AIM,NM_Carlsbad_LUP_2019_Gypsum_469_V12020-09-01,2020-09-23,30722,Prescribed Burn,Prescribed Burn,2016-03-04
81,BLM_AIM,NML00000_2020_Sandy_5142019-09-01,2019-10-03,,,,
82,BLM_AIM,20113525010301O1,2011-08-09,,,,
83,BLM_AIM,1610040933567712016-09-01,2016-10-03,,,,
84,BLM_AIM,NM_LasCrucesDO_2016_LUP_Bottom-003_V22021-09-01,2021-08-23,,,,
85,BLM_AIM,20183513201418B1,2018-04-05,,,,
86,BLM_AIM,AZ_TFO_LUP_2020_SP-396_V12023-09-01,2023-09-23,,,,
87,BLM_AIM,AZ_AZ-Tucson-Field-Office-2021_WHWD-413_V12021-09-01,2021-10-14,,,,
89,BLM_AIM,20183513201418B3,2018-04-05,,,,
91,BLM_AIM,18101511224069032018-09-01,2018-10-23,,,,
92,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-473_V22021-09-01,2021-08-25,,,,
93,BLM_AIM,17101616020163562017-09-01,2017-10-15,,,,
94,BLM_AIM,NMP02000_Year1_ChiActive_0022019-09-01,2019-08-21,,,,
95,BLM_AIM,20092309445389522020-09-01,2020-09-22,,,,
96,BLM_AIM,AZ_TFO_LUP_2020_SP_384_V12022-09-01,2022-09-24,,,,
97,BLM_AIM,NMP02000_Year1_Gypsum_4652019-09-01,2019-10-22,30926,Prescribed Burn,Prescribed Burn,2018-03-07
98,BLM_AIM,20233515200120B1,2023-05-23,,,,
99,BLM_AIM,NM_LasCrucesDO_2016_LUP_Sandy-469_V22021-09-01,2021-08-26,,,,
100,BLM_AIM,16100515373142542016-09-01,2016-10-04,,,,
101,BLM_AIM,20233515200120B2,2023-05-23,,,,
102,BLM_AIM,20113529010901O2,2011-08-10,,,,
103,BLM_AIM,18110212070837412018-09-01,2018-11-01,,,,
104,BLM_AIM,20123515010901O1,2012-06-12,,,,
105,BLM_AIM,NM_LasCrucesDO_2016_LUP_Hills-196_V22021-09-01,2021-08-16,,,,
106,BLM_AIM,17120108013662422017-09-01,2017-10-20,,,,
107,BLM_AIM,20113529010901O3,2011-08-10,,,,
108,BLM_AIM,AZ_TFO_LUP_2020_SP_380_V12022-09-01,2022-09-22,,,,
109,BLM_AIM,NMP02000_Year1_HabActive_5172019-09-01,2019-11-26,,,,
110,BLM_AIM,NMP02000_2019_Reclaim_1012019-09-01,2019-10-23,,,,
111,BLM_AIM,20123515010901O2,2012-08-15,,,,
112,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_041_V12021-09-01,2021-07-14,,,,
114,BLM_AIM,16111616433990922016-09-01,2016-11-15,,,,
115,BLM_AIM,NM_LasCrucesDO_2016_LUP_Mal-387_V22021-09-01,2021-08-18,,,,
116,BLM_AIM,18010509452916612017-09-01,2017-10-21,,,,
117,BLM_AIM,19081609421289502019-09-01,2019-08-15,,,,
118,BLM_AIM,19081615144188722019-09-01,2019-08-15,,,,
119,BLM_AIM,NM_Carlsbad_LUP_2019_ChiActive_034_V12021-09-01,2021-06-21,30718,Prescribed Burn,Prescribed Burn,2016-03-24
120,BLM_AIM,NMP02000_Year1_ChiActive_0092019-09-01,2019-09-04,,,,
