LDCpointID,PrimaryKey,TrtPolyID,Trt_ID
32283,11112108195028542013-09-01,8877,26297
32300,11112108155578982013-09-01,8877,26297
47598,19060210002880642019-09-01,8882,26311
48918,17080107180635572017-09-01,8893,26339
48918,17080107180635572017-09-01,8894,26340
50201,20124125151101B1,8897,26360
50214,20124125151101B2,8897,26360
5101,NM_RioPuerco_LUP_2017_GR_040_V12020-09-01,8901,26373
30029,13060408162315832013-09-01,8909,26394
38770,20053118341680982020-09-01,8919,26427
38777,ID_BurleyFO_LUP_Revisit_2021_SEED-NR-003_V12021-09-01,8919,26427
30241,11052507310297432011-09-01,8959,26510
30269,19060210215540462019-09-01,8959,26510
30033,19051717595729292019-09-01,8966,26527
33003,19091313223779852019-09-01,8984,26570
43883,20111639010901O1,8987,26578
40730,20061413421221512020-09-01,8995,26604
13004,2016885200314B1,8999,26611
46874,16050914252179172016-09-01,9003,26621
46951,ID_OFO_LUP_2022_LowCM_2022_128_V22022-09-01,9003,26621
46952,ID_OwyheeFOLUP2016_LowCM-255_V12021-09-01,9003,26621
46953,17081212312848312017-09-01,9003,26621
46066,17061616471513712017-09-01,9011,26658
46072,20070415452538642020-09-01,9012,26659
46089,16081611044827072016-09-01,9012,26659
8818,CO_TRFO_LUP_2023_TRFO2023-009_V22023-09-01,9042,26732
8819,CO_CO_Tres_Rios_Field_Office_LUP_2018_MS-226_V12021-09-01,9042,26732
47898,20234125313201B2,9052,57353
47945,20234125313201B3,9052,57353
56340,18061908470041902018-09-01,9055,26792
51529,18052010474135482018-09-01,9057,26802
51571,19060314421894862019-09-01,9057,26802
51653,20072007515982542020-09-01,9057,26802
21857,NV_NV-CC-DO-HAF-Pine-Nut-2021_Pine-Nut-PMU-20_V22021-09-01,9060,26806
42817,13051406262191892013-09-01,9064,26820
43109,ID_SHFO_LUP_2023_BSWD-001_V12023-09-01,9064,26820
43127,13052011380377362013-09-01,9064,26820
43148,20161613106506B1,9064,26820
43166,20161613106506B2,9064,26820
43258,13051516045531752013-09-01,9064,26820
43291,13051513251355502013-09-01,9064,26820
42817,13051406262191892013-09-01,9067,26827
43049,19050310451570872019-09-01,9069,26829
43098,ID_BUFO_LUP_2021_NAT-032_V12023-09-01,9069,26829
24081,19081313073717262019-09-01,9070,26831
24097,20144947101307B1,9070,26831
