FID_TrtPoly009,Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID,FID_MLRA,MLRA_ID,MLRARSYM,MLRA_NAME,LRRSYM,LRR_NAME,Shape_Length,Shape_Area
1997,26139,73666,10/1/2015,10/3/2015,Prescribed Burn,Prescribed Burn,Prescribed Burn,30713,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,6775.315908177400161,1605898.267979581607506
1998,26178,73705,10/23/2018,10/24/2018,Prescribed Burn,Prescribed Burn,Prescribed Burn,30752,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,4684.467098733111015,1008905.142857256229036
1999,26193,73720,4/20/2020,5/12/2020,Prescribed Burn,Prescribed Burn,Prescribed Burn,30767,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,8912.782164244328669,4544989.802218675613403
2000,26194,73721,4/30/2020,5/11/2020,Prescribed Burn,Prescribed Burn,Prescribed Burn,30768,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,7969.926867709495127,2587744.983826400246471
2001,26197,73724,3/3/2020,3/3/2020,Prescribed Burn,Prescribed Burn,Prescribed Burn,30771,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,4529.917747912852064,186795.958221120265080
2003,26344,73871,10/1/2016,9/30/2017,Prescribed Burn,Prescribed Burn,Prescribed Burn,30918,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,4319.202383551781168,1046165.785093308310024
2004,26345,73872,10/1/2016,9/30/2017,Prescribed Burn,Prescribed Burn,Prescribed Burn,30919,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,2307.820847050625162,282266.989766485057771
2007,25846,73373,9/19/1999,9/26/1999,Prescribed Burn,Prescribed Burn,Prescribed Burn,30420,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,3048.428488999653837,31110.503592144323193
2008,26069,73596,9/8/2008,9/15/2008,Prescribed Burn,Prescribed Burn,Prescribed Burn,30643,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,3048.428488999653837,31110.503592144323193
2009,25898,73425,4/21/2014,4/28/2014,Prescribed Burn,Prescribed Burn,Prescribed Burn,30472,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,13329.861287542453283,6046655.901966890320182
2010,25899,73426,4/9/2015,4/28/2015,Prescribed Burn,Prescribed Burn,Prescribed Burn,30473,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,29914.681799102800142,23012341.599018510431051
2011,25901,73428,7/28/2016,7/28/2016,Prescribed Burn,Prescribed Burn,Prescribed Burn,30475,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,4040.786363488479765,88746.444519732060144
2012,25904,73431,5/11/2019,5/14/2019,Prescribed Burn,Prescribed Burn,Prescribed Burn,30478,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,4040.786363488479765,88746.444519732060144
2013,25902,73429,5/3/2018,5/17/2018,Prescribed Burn,Prescribed Burn,Prescribed Burn,30476,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,11349.648206110099636,592393.578153177280910
2014,25904,73431,5/11/2019,5/14/2019,Prescribed Burn,Prescribed Burn,Prescribed Burn,30478,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,1184.343496936785414,28146.463365394942230
2015,25905,73432,4/25/2019,5/2/2019,Prescribed Burn,Prescribed Burn,Prescribed Burn,30479,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,12099.432787032670603,5660266.660265685059130
2017,26115,73642,10/1/2012,5/31/2013,Prescribed Burn,Prescribed Burn,Prescribed Burn,30689,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,4149.235202043009849,309097.252609381626826
2018,26197,73724,3/3/2020,3/3/2020,Prescribed Burn,Prescribed Burn,Prescribed Burn,30771,68,68,58A,"Northern Rolling High Plains, Northern Part",G,Western Great Plains Range and Irrigated Region,3099.319816605011965,106986.051337402852369
54,609,1647,9/10/1984,10/12/1984,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,553,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,39685.127093520408380,19504961.325308062136173
327,3544,9960,6/15/1987,6/15/1987,Prescribed Burn,Prescribed Burn,Prescribed Burn,3192,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,14253.526689157575674,8614172.852396463975310
620,6871,18920,10/5/1964,5/7/1965,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,6283,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,15261.320226156014542,3930417.306145772337914
621,6871,18921,10/5/1964,5/7/1965,Seeding,Drill Seeding,Ground Seeding: Drill,6284,34,34,34A,Cool Central Desertic Basins and Plateaus,D,Western Range and Irrigated Region,15261.320226156014542,3930417.306145772337914
