FID_TrtPoly009,Prj_ID,Trt_ID,init_date_est,comp_date_est,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,TrtPolyID,FID_MLRA,MLRA_ID,MLRARSYM,MLRA_NAME,LRRSYM,LRR_NAME,Shape_Length,Shape_Area
561,6311,17423,6/15/2007,6/15/2010,Seeding,Aerial Seeding,Aerial Seeding,5767,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,85569.671376888087252,35051757.747178778052330
562,6311,17428,6/15/2007,6/15/2010,Seeding,Aerial Seeding,Aerial Seeding,5768,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,39506.770381250040373,9870888.952239202335477
568,6345,17526,6/15/1987,10/2/1988,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,5807,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,13398.115474365225964,5574002.023024798370898
573,6386,17647,4/28/2009,5/8/2009,Vegetation/Soil Manipulation,Vegetation Disturbance,Vegetation Disturbance: Mowing,5860,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,9745.803938069004289,2482436.403913106303662
594,6667,18341,9/15/1962,10/20/1962,Seeding,Drill Seeding,Ground Seeding: Drill,6105,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,19468.068360160741577,16277807.115901254117489
595,6670,18349,3/10/1963,1/9/1964,Seeding,Drill Seeding,Ground Seeding: Drill,6107,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,31014.406916369451210,24832601.630997471511364
610,6780,18687,9/27/2010,9/27/2010,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,6187,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,130180.127623971973662,2364973.880467209499329
611,6782,18693,9/15/2006,9/15/2006,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,6188,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,488651.706036562449299,5956520.899552863091230
613,6800,18740,6/15/1965,6/15/1965,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,6200,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,18945.449021330205142,15198425.445835504680872
614,6800,18741,6/15/1965,6/15/1965,Seeding,Drill Seeding,Ground Seeding: Drill,6201,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,18945.449021330205142,15198425.445835504680872
628,6892,18959,3/4/2013,3/4/2013,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,6301,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,14174.544317986412352,3097769.867465582676232
629,6894,71504,10/22/2018,9/11/2019,Vegetation/Soil Manipulation,Vegetation Disturbance,Vegetation Disturbance: Mowing,6303,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,28734.853281677518680,3526719.403151740785688
637,7114,19525,10/18/1966,11/30/1966,Seeding,Drill Seeding,Ground Seeding: Drill,6498,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,129888.101198444084730,54948522.257220961153507
647,7236,19842,11/1/2011,11/3/2011,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,6626,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,15748.521904203094891,8498105.109976017847657
648,7236,19843,11/1/2011,11/3/2011,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,6627,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,4970.756470780826021,1325058.868009388679639
655,7319,19991,9/6/1959,12/4/1959,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,6685,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,6044.926780307172521,2135129.853640985675156
656,7319,19992,9/6/1959,12/4/1959,Seeding,Drill Seeding,Ground Seeding: Drill,6686,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,6044.926780307172521,2135129.853640985675156
672,7543,20587,6/15/1974,6/15/1974,Seeding,Drill Seeding,Ground Seeding: Drill,6885,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,15585.066362836729240,9097395.089021036401391
696,7810,21337,6/15/1956,6/15/1958,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,7144,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,16171.270279122845750,13418083.106293380260468
697,7811,21338,11/2/2014,11/2/2014,Seeding,Seedling Planting,Seedling Planting (Shrub/Tree): Hand Planting,7145,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,15566.064180379451500,3398502.725499520078301
702,7836,21403,9/15/2006,3/15/2007,Seeding,Drill Seeding,Ground Seeding: Drill,7165,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,18853.727773875663843,2270411.377214367501438
703,7836,21410,1/15/2007,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,7168,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,646334.042688400833867,7810817.130400259979069
704,7836,21411,1/15/2007,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,7169,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,646334.011082296376117,7810818.168120325542986
714,7940,21772,10/15/1986,2/15/1987,Seeding,Drill Seeding,Ground Seeding: Drill,7291,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,63472.585623342230974,63912108.176009744405746
740,8220,22513,10/15/2005,3/15/2006,Seeding,Aerial Seeding,Aerial Seeding: Fixed Wing,7563,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,6528.829750664893254,1247412.055391396395862
753,8345,22838,5/15/1963,8/15/1963,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,7668,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,20344.806888504033850,10274547.872736621648073
754,8345,22839,10/13/1963,11/5/1963,Seeding,Drill Seeding,Ground Seeding: Drill,7669,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,20344.806888504033850,10274547.872736621648073
764,8448,23116,8/8/2013,8/16/2013,Vegetation/Soil Manipulation,Vegetation Disturbance,Vegetation Disturbance: Mowing,7796,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,53854.376074475985661,2361129.050035147462040
765,8458,23143,10/15/2005,3/15/2006,Seeding,Aerial Seeding,Aerial Seeding,7801,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,109785.637872763720225,1245262.759060104377568
766,8474,23182,3/28/1954,8/20/1954,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,7818,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,13614.626640269669224,8414467.087794212624431
767,8474,23183,9/1/1954,9/23/1954,Seeding,Drill Seeding,Ground Seeding: Drill,7819,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,13614.626640269669224,8414467.087794212624431
768,8474,23184,9/1/1954,9/28/1954,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Cultipacking,7820,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,13614.626640269669224,8414467.087794212624431
785,8833,24080,6/15/2002,6/15/2003,Seeding,Drill Seeding,Ground Seeding: Drill,8107,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,48226.542225863777276,9352185.392332276329398
794,8908,24277,10/31/2011,10/31/2011,Seeding,Aerial Seeding,Aerial Seeding: Fixed Wing,8175,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,11370.358170063002035,3712326.019432394765317
795,8941,24372,11/11/2010,2/15/2011,Vegetation/Soil Manipulation,Vegetation Disturbance,Vegetation Disturbance: Mastication,8198,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,26485.281309284833696,1434800.503377144690603
817,9222,25076,7/29/1956,10/30/1958,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,8429,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,22415.150643882472650,4568624.058321516960859
821,9261,25170,8/15/1999,6/15/2000,Seeding,Aerial Seeding,Aerial Seeding,8455,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,188294.231603986147093,1687871.549383815610781
832,9396,25534,1/19/2014,2/11/2014,Seeding,Aerial Seeding,Aerial Seeding,8607,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1586449.682273967424408,18249848.719711251556873
835,9417,25598,12/15/2007,12/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,8624,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,334260.589840378146619,4175098.998090028297156
845,9499,25819,10/9/1952,10/1/1953,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,8693,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,68033.716293562814826,37479831.109617531299591
846,9499,25818,10/9/1952,10/1/1953,Seeding,Drill Seeding,Ground Seeding: Drill,8694,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,68033.716293562814826,37479831.109617531299591
855,9547,25939,9/15/1987,10/15/1987,Seeding,Drill Seeding,Ground Seeding: Drill,8745,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,5933.603486402368617,1046823.615126561257057
865,9672,26261,9/14/1990,9/14/1990,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,8867,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,28350.596094180418731,13423700.483656384050846
866,9685,26290,11/25/2008,11/25/2008,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,8874,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,149507.122543885954656,2805470.887242791242898
869,9702,26339,6/15/1963,6/15/1963,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,8893,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,19617.700010234115325,13006274.592219904065132
870,9702,26340,6/15/1963,6/15/1963,Seeding,Drill Seeding,Ground Seeding: Drill,8894,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,19617.700010234115325,13006274.592219904065132
873,9726,26394,12/7/2001,12/7/2001,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,8909,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,132127.468289916287176,1244721.070533215999603
874,9741,26427,10/7/1966,1/11/1967,Seeding,Drill Seeding,Ground Seeding: Drill,8919,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,6584.096578981561834,2794762.545822452288121
875,9773,26510,11/30/2010,2/25/2011,Seeding,Aerial Seeding,Aerial Seeding,8959,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,115220.103486839216202,1676438.666848640423268
881,9814,26621,2/11/2002,2/12/2002,Seeding,Aerial Seeding,Aerial Seeding,9003,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,38773.539530306115921,29037158.816383752971888
882,9824,26658,6/15/1974,6/15/1975,Seeding,Drill Seeding,Ground Seeding: Drill,9011,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,16740.938398461919860,17816836.203105058521032
883,9824,26659,6/15/1974,6/15/1974,Seeding,Drill Seeding,Ground Seeding: Drill,9012,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,2414.069392877280279,188152.145698309905129
903,10009,27197,6/3/1960,6/13/1961,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,9200,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,22358.309174272650125,21018790.459227968007326
904,10017,27214,11/18/2006,4/7/2007,Seeding,Drill Seeding,Ground Seeding: Drill,9205,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,33328.112743458208570,14064452.781626598909497
905,10038,27267,10/16/1963,11/20/1963,Seeding,Drill Seeding,Ground Seeding: Drill,9221,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,36730.677924013267329,8176929.727787183597684
916,10164,27549,9/3/1981,9/4/1981,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,9341,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,15473.686107836094379,10987951.015287118032575
927,10424,28269,2/14/2002,2/15/2002,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,9602,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1066456.226713211741298,12629824.841488875448704
928,10426,28287,9/15/2006,3/15/2007,Seeding,Drill Seeding,Ground Seeding: Drill,9603,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,31661.154083700716001,21821714.159769248217344
929,10426,28296,1/15/2007,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,9604,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,144046.544518353359308,4580865.237579976208508
930,10426,28297,1/15/2007,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,9605,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,218048.892114856920671,17108355.356389172375202
931,10426,28290,1/15/2007,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,9608,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,2956398.169468834064901,36510848.584922410547733
932,10426,28289,1/15/2007,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,9609,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,592509.505404490046203,19602944.628114495426416
933,10430,28315,10/9/1986,11/17/1986,Seeding,Drill Seeding,Ground Seeding: Drill,9622,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,26978.117963763030275,8653911.821647826582193
934,10435,28327,5/15/1967,5/28/1967,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,9625,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,48832.722204694626271,22658838.235239073634148
935,10499,28469,2/2/2009,2/2/2009,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,9668,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,19625.022204813729331,7047978.238684223033488
936,10500,28478,5/9/1963,5/9/1963,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,9669,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,19525.396491310741112,6229939.998566230759025
940,10568,28662,8/26/2013,9/2/2013,Vegetation/Soil Manipulation,Vegetation Disturbance,Vegetation Disturbance: Mowing,9721,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,60259.253960673944675,4801594.269828964956105
948,10748,29153,1/15/2007,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,9876,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,221248.656110460200580,3416534.587299269158393
961,11029,29901,6/15/1969,6/15/1969,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,10154,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,24095.621569604059914,4678520.552224083803594
962,11029,29902,6/15/1969,6/15/1969,Seeding,Drill Seeding,Ground Seeding: Drill,10155,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,24095.621569604059914,4678520.552224083803594
963,11036,29913,10/15/1990,10/15/1990,Seeding,Drill Seeding,Ground Seeding: Drill,10159,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,9442.498764809415661,2492641.591108900029212
964,11045,29933,5/20/1963,5/25/1963,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application,10173,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,8222.077000474053420,3248863.986251763999462
965,11054,29952,10/10/2011,10/10/2011,Seeding,Aerial Seeding,Aerial Seeding,10184,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,39337.068845295681967,23725814.032943747937679
966,11069,29989,6/15/1970,6/15/1970,Seeding,Aerial Seeding,Aerial Seeding,10192,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,24365.634505971196631,6208196.868655525147915
967,11069,29990,6/15/1970,6/15/1970,Seeding,Aerial Seeding,Aerial Seeding,10193,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,24365.634505971196631,6208196.868655525147915
973,11122,30128,1/11/2002,1/14/2002,Seeding,Aerial Seeding,Aerial Seeding,10238,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1306132.780068274820223,28831153.716494966298342
974,11122,30129,1/11/2002,1/14/2002,Seeding,Aerial Seeding,Aerial Seeding,10239,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1878226.762077700579539,35632415.118978768587112
996,11383,30871,10/15/2006,3/15/2007,Seeding,Drill Seeding,Ground Seeding: Drill,10499,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,117000.429538702461286,23681140.726982172578573
997,11383,30878,10/15/2006,3/15/2007,Seeding,Drill Seeding,Ground Seeding: Drill,10501,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,36473.934358418337069,5647201.010435226373374
998,11383,30882,12/15/2006,12/15/2006,Seeding,Aerial Seeding,Aerial Seeding: Fixed Wing,10504,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1724412.194192659808323,20426734.821507472544909
999,11383,30883,12/15/2006,12/15/2006,Seeding,Aerial Seeding,Aerial Seeding: Fixed Wing,10505,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1918933.758394645992666,22560928.208615440875292
1000,11383,30876,5/31/2007,7/17/2009,Herbicide/Weeds/Chemical,Herbicide,Noxious Weeds: Weed Control - Herbicide Application,10507,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,41267.456752159188909,6640832.975865703076124
1005,11463,31097,4/15/1962,4/15/1962,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,10563,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,17507.746955523078213,9939737.112102560698986
1013,11534,31287,12/1/2012,1/31/2013,Seeding,Drill Seeding,Ground Seeding: Drill,10623,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,7270.080682324444751,3026473.252592443488538
1017,11647,31581,10/19/1996,11/25/1996,Seeding,Drill Seeding,Ground Seeding: Drill,10722,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,81738.097115884011146,33429812.543029695749283
1018,11647,31583,1/27/1997,1/29/1997,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,10725,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,114328.181982226873515,52753632.446260668337345
1019,11657,31615,6/12/1967,3/8/1968,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,10732,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,6480.271344573427086,1350251.735935496399179
1020,11657,31616,6/12/1967,3/8/1968,Seeding,Drill Seeding,Ground Seeding: Drill,10733,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,6480.271344573427086,1350251.735935496399179
1041,11929,32254,3/28/1954,8/20/1954,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,10931,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,7262.977136903791688,2060392.883472318993881
1042,11929,32255,9/15/1954,9/28/1954,Seeding,Drill Seeding,Ground Seeding: Drill,10932,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,7262.977136903791688,2060392.883472318993881
1043,11929,32256,9/15/1954,9/28/1954,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Cultipacking,10933,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,7262.977136903791688,2060392.883472318993881
1051,12126,32800,6/4/1963,3/11/1964,Seeding,Drill Seeding,Ground Seeding: Drill,11112,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,15701.731705077239894,8450874.658551564440131
1052,12126,32801,6/4/1963,3/11/1964,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,11113,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,15701.731705077239894,8450874.658551564440131
1077,12538,33811,12/15/2007,12/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11486,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,119824.522560116485693,2020915.711029697442427
1078,12538,33800,1/11/2008,2/29/2008,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11488,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,2150544.936417812015861,24962151.279501762241125
1079,12538,33801,12/11/2008,2/28/2009,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11489,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,951335.501047359197401,21049717.461200416088104
1080,12538,33802,1/11/2008,2/29/2008,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11490,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,696746.080148660345003,14922272.855878200381994
1081,12538,33807,1/15/2009,1/15/2009,Seeding,Aerial Seeding,Aerial Seeding,11491,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,164328.078318386484170,3289608.689342536497861
1083,12555,33845,8/16/1979,1/15/1980,Seeding,Drill Seeding,Ground Seeding: Drill,11504,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,28189.328360390205489,26248149.252164907753468
1085,12589,33939,12/15/2007,12/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11532,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,520089.089514963794500,8575574.536863276734948
1086,12589,33947,12/15/2007,12/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11537,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,2050100.080453469417989,45365269.959665857255459
1087,12589,33934,12/15/2007,12/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11539,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,323457.593846826639492,3943320.186379895545542
1088,12589,33935,12/15/2007,12/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11540,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,8157529.344003523699939,103309993.922356694936752
1089,12589,33936,12/15/2007,12/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11541,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1044367.578424596809782,23544603.620698936283588
1090,12594,33959,12/13/2013,3/1/2014,Vegetation/Soil Manipulation,Vegetation Disturbance,Vegetation Disturbance: Mastication,11547,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,180.671237596867172,1536.219114079236306
1096,12656,34120,10/15/1964,8/2/1965,Seeding,Drill Seeding,Ground Seeding: Drill,11600,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,145979.400876683183014,43271524.659365311264992
1097,12656,34119,10/15/1964,8/2/1965,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,11601,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,145975.619677013775799,43269949.805951163172722
1099,12674,34155,7/20/1994,7/22/1994,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,11656,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,45780.169453635833634,34422607.507243089377880
1103,12743,34310,9/15/1957,4/11/1958,Seeding,Drill Seeding,Ground Seeding: Drill,11702,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,76818.974630198164959,31269656.343143094331026
1108,12793,34436,5/9/1961,5/16/1961,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,11753,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,29921.126695854763966,35220252.940023757517338
1109,12812,34476,10/24/1986,11/19/1986,Seeding,Drill Seeding,Ground Seeding: Drill,11760,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,17096.521749222411017,7949188.727288801223040
1110,12812,34479,10/24/1986,11/19/1986,Seeding,Drill Seeding,Ground Seeding: Drill,11761,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,10811.742643917837995,6158405.759565369226038
1111,12813,34480,6/15/1985,6/15/1985,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,11762,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,9535.717334107113857,5434243.960768946446478
1112,12814,34481,4/19/1966,4/26/1966,Herbicide/Weeds/Chemical,Herbicide,Herbicide Application: Brush/Tree Control,11763,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,34137.561057528408128,42679357.102488040924072
1118,12931,34819,4/27/1953,5/17/1953,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,11857,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,8305.975167123329811,3597097.693796934094280
1119,12931,34820,9/3/1953,11/6/1953,Seeding,Drill Seeding,Ground Seeding: Drill,11858,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,8305.975167123329811,3597097.693796934094280
1122,12943,34851,12/15/2007,12/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11866,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,141117.577811357507017,2490612.040157770738006
1125,12982,34970,10/15/2005,3/15/2006,Seeding,Aerial Seeding,Aerial Seeding,11917,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,5129768.733448750339448,66516191.337173879146576
1126,13011,35047,8/9/1984,8/9/1984,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,11932,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,12209.998674114236564,5203462.120142443105578
1129,13030,35098,2/3/1997,2/3/1997,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11961,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,34615.272485520632472,11147509.207863615825772
1130,13031,35101,9/15/2006,12/15/2007,Seeding,Drill Seeding,Ground Seeding: Drill,11962,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,198269.148131200839998,83374339.387089967727661
1131,13031,35102,12/15/2006,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11963,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,464538.217563315585721,12494156.629318596795201
1132,13031,35103,12/15/2006,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11964,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1300821.493667733622715,28603548.605058316141367
1133,13031,35115,1/10/2009,1/10/2009,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11967,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,1829767.149677417008206,22248101.476065590977669
1134,13031,35114,12/15/2006,1/15/2007,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,11970,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,12921348.839963069185615,150332066.277692496776581
1141,13117,35345,9/13/1984,9/15/1984,Prescribed Burn,Prescribed Burn,Prescribed Burn: Broadcast Burn,12067,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,15843.836830068188647,11373991.819857852533460
1143,13177,35489,9/12/1952,10/15/1952,Seeding,Drill Seeding,Ground Seeding: Drill,12104,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,23277.660954417646280,11415098.800699666142464
1144,13177,35490,9/12/1952,10/15/1952,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Plowing,12105,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,23277.660954417646280,11415098.800699666142464
1145,13177,35491,9/12/1952,10/15/1952,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Railing,12106,26,26,25,Owyhee High Plateau,D,Western Range and Irrigated Region,23277.660954417646280,11415098.800699666142464
