PrimaryKey,ORIG_OID
11042011323910692011-09-01,229
11042011343855692011-09-01,230
11042011352544812011-09-01,231
11042011370168712011-09-01,232
11042011381885302011-09-01,233
11042011444120692011-09-01,234
11042011452370802011-09-01,235
1104201147002482011-09-01,236
11042011475825782011-09-01,237
11042011483391162011-09-01,238
11042011490684312011-09-01,239
11042011500450702011-09-01,240
11042011504127412011-09-01,241
11042011514218042011-09-01,242
11042011521064682011-09-01,243
11051011371118632011-09-01,244
11051013305578402011-09-01,245
1105101505123832011-09-01,246
11051015062688472011-09-01,247
11051015070128472011-09-01,248
1105101507207022011-09-01,249
11051015080998492011-09-01,250
11051015082917182011-09-01,251
11051015085118672011-09-01,252
11051109281436392011-09-01,253
11051110592117792011-09-01,254
11051112543982892011-09-01,255
11051112543982892012-09-01,256
11051113183465032011-09-01,257
11051113344820692011-09-01,258
11051113362451272011-09-01,259
11051113385270142011-09-01,260
11051113395018732011-09-01,261
11051113475088772011-09-01,262
11051113492077142011-09-01,263
11051113503759032011-09-01,264
11051113514120242011-09-01,265
11051113525864912011-09-01,266
11051113534819832011-09-01,267
11051113550329252011-09-01,268
11051113574236102011-09-01,269
11051113590963632011-09-01,270
1105111407409152011-09-01,271
1105111417298122011-09-01,272
1105111423364932011-09-01,273
11051114312952972011-09-01,274
11051114334568862011-09-01,275
11051114460738462011-09-01,276
11051114475280452011-09-01,277
11051114505058622011-09-01,278
11051114514337212011-09-01,279
11051114534355302011-09-01,280
11051114544515612011-09-01,281
11051114561377692011-09-01,282
11051208040355422011-09-01,283
11051209500332362011-09-01,284
11051213502892152011-09-01,285
1105170940332582011-09-01,286
11051715272976692011-09-01,287
11051817524323042011-09-01,288
11051908451463112011-09-01,289
11051914150866652011-09-01,290
11051915205315272011-09-01,291
11051916042618912011-09-01,292
11051916055190242011-09-01,293
1105191608458582011-09-01,294
11051916100162722011-09-01,295
11051916105998452011-09-01,296
11051916165898532011-09-01,297
11051916184279002011-09-01,298
11051916192822212011-09-01,299
11051916210033262011-09-01,300
11051916220092532011-09-01,301
11051916225466312011-09-01,302
11051916242891032011-09-01,303
11051916255822482011-09-01,304
11051916270774592011-09-01,305
11051916274975742011-09-01,306
11051916302447742011-09-01,307
11051916351587722011-09-01,308
11051916374934132011-09-01,309
11051916394674452011-09-01,310
11051916414477872011-09-01,311
11051916425286812011-09-01,312
11051916442153062011-09-01,313
11051916454092122011-09-01,314
11051916464736982011-09-01,315
11052008411768312011-09-01,316
11052013490987292011-09-01,317
11052107244193512011-09-01,318
11052111112772022011-09-01,319
11052208354661482011-09-01,320
11052213073924242011-09-01,321
1105230807092752011-09-01,322
11052310384085842011-09-01,323
11052314473229872011-09-01,324
1105240738069432011-09-01,325
11052407403659372011-09-01,326
11052409092996162011-09-01,327
11052414012164612011-09-01,328
11052507310297432011-09-01,329
11052507345864272011-09-01,330
11052509031689182011-09-01,331
11052509430156072011-09-01,332
1105250944187522011-09-01,333
11052509451372652011-09-01,334
11052509511995032011-09-01,335
11052509514621872011-09-01,336
11052509520731342011-09-01,337
11052509534314312011-09-01,338
11052509540289142011-09-01,339
1105250954196652011-09-01,340
11052509543247612011-09-01,341
11052509544750252011-09-01,342
11052509550237982011-09-01,343
11052516583134282011-09-01,344
11052606485517362011-09-01,345
11052715092358022011-09-01,346
11052912200638052011-09-01,347
11053016224591412011-09-01,348
11060316234515332011-09-01,349
11060410152645832011-09-01,350
11060414502771232011-09-01,351
11060507442439442011-09-01,352
11060510362480342011-09-01,353
11060514450283652011-09-01,354
11060608040820652011-09-01,355
11060613533710642011-09-01,356
11060707491722032011-09-01,357
11060712430566852011-09-01,358
11060715453549062011-09-01,359
11060717443217862011-09-01,360
11060808014250182011-09-01,361
11060809485178982011-09-01,362
11060908475986092011-09-01,363
11060909053426142011-09-01,364
11061021001015922011-09-01,365
11061110343789832011-09-01,366
11061112532068132011-09-01,367
1106121254266212011-09-01,368
11061216050485232011-09-01,369
11061317053783382011-09-01,370
11061412594198822011-09-01,371
11061509461740712011-09-01,372
11061516005596222011-09-01,373
11061610130522762011-09-01,374
1106161328201642011-09-01,375
11061707365549822011-09-01,376
11061808064342642011-09-01,377
11061912145281042011-09-01,378
11062007340442472011-09-01,379
11062010251896892011-09-01,380
11062015285624802011-09-01,381
11062111421531182011-09-01,382
11062114322799842011-09-01,383
11062207341484212011-09-01,384
11062310015397462011-09-01,385
11062310022372442011-09-01,386
11062310025562412011-09-01,387
11062410113516172011-09-01,388
11062607585443642011-09-01,389
11062613474270132011-09-01,390
11062614014848262011-09-01,391
11062708195497592011-09-01,392
11062709211313552011-09-01,393
11062712542547532011-09-01,394
11062713045915892011-09-01,395
11062716451887332011-09-01,396
11062808191886222011-09-01,397
1106280928447362011-09-01,398
11062809551028692011-09-01,399
11062811353923712011-09-01,400
11062908143180772011-09-01,401
11062908570864742011-09-01,402
11062908570864742012-09-01,403
11062911132183352011-09-01,404
11062914584992432011-09-01,405
11062914585759152011-09-01,406
1106291459069422011-09-01,407
11062914591449342011-09-01,408
11062914592123492011-09-01,409
11062916255872982011-09-01,410
11070613154459792011-09-01,411
11070614490112772011-09-01,412
11070708003880812011-09-01,413
11070708392717962011-09-01,414
11070709102513112011-09-01,415
1107071151452502011-09-01,416
11070712022184132011-09-01,417
11070712023567342011-09-01,418
11070712024792392011-09-01,419
11070713050396772011-09-01,420
11070715122675592011-09-01,421
11070716244178382011-09-01,422
11070716263976322011-09-01,423
11070716280410722011-09-01,424
1107071630025842011-09-01,425
11070716360735862011-09-01,426
11070716381739062011-09-01,427
11070716512057292011-09-01,428
11070716530550962011-09-01,429
11070716543881302011-09-01,430
11070716555636432011-09-01,431
11070716585672542011-09-01,432
11070716595645462011-09-01,433
11070717003835852011-09-01,434
11070717014389162011-09-01,435
11070717023927712011-09-01,436
1107071703525132011-09-01,437
11070717044531682011-09-01,438
11070717053859842011-09-01,439
11070717063748082011-09-01,440
11070717074575002011-09-01,441
11070717084070522011-09-01,442
11070717094364832011-09-01,443
11070717104664422011-09-01,444
11070717111216712011-09-01,445
11070909454817202011-09-01,446
11070913141850942011-09-01,447
11071008150185592011-09-01,448
11071012013294662011-09-01,449
